,"en-US","de-DE","es-ES","fr-FR","it-IT","ja-JP","ko-KR","pl-PL","pt-BR","ru-RU","zh-HANS","zh-HANT"
"InfomodeTooltipGrain","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport"
"InfomodeTooltipLivestock","@@FromAgriculture","@@FromAgriculture","@@FromAgriculture","@@FromAgriculture","@@FromAgriculture","@@FromAgriculture","@@FromAgriculture","@@FromAgriculture","@@FromAgriculture","@@FromAgriculture","@@FromAgriculture","@@FromAgriculture"
"InfomodeTooltipLivestock","@@RequiredToProduce @@BoldConvenienceFood, @@BoldFood, @@ConjunctionAnd @@BoldTextiles","@@RequiredToProduce @@BoldConvenienceFood, @@BoldFood, @@ConjunctionAnd @@BoldTextiles","@@RequiredToProduce @@BoldConvenienceFood, @@BoldFood, @@ConjunctionAnd @@BoldTextiles","@@RequiredToProduce @@BoldConvenienceFood, @@BoldFood, @@ConjunctionAnd @@BoldTextiles","@@RequiredToProduce @@BoldConvenienceFood, @@BoldFood, @@ConjunctionAnd @@BoldTextiles","@@RequiredToProduce @@BoldConvenienceFood, @@BoldFood, @@ConjunctionAnd @@BoldTextiles","@@RequiredToProduce @@BoldConvenienceFood, @@BoldFood, @@ConjunctionAnd @@BoldTextiles","@@RequiredToProduce @@BoldConvenienceFood, @@BoldFood, @@ConjunctionAnd @@BoldTextiles","@@RequiredToProduce @@BoldConvenienceFood, @@BoldFood, @@ConjunctionAnd @@BoldTextiles","@@RequiredToProduce @@BoldConvenienceFood, @@BoldFood, @@ConjunctionAnd @@BoldTextiles","@@RequiredToProduce @@BoldConvenienceFood, @@BoldFood, @@ConjunctionAnd @@BoldTextiles","@@RequiredToProduce @@BoldConvenienceFood, @@BoldFood, @@ConjunctionAnd @@BoldTextiles"
"InfomodeTooltipLivestock","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport"
"InfomodeTooltipVegetables","@@FromAgriculture","@@FromAgriculture","@@FromAgriculture","@@FromAgriculture","@@FromAgriculture","@@FromAgriculture","@@FromAgriculture","@@FromAgriculture","@@FromAgriculture","@@FromAgriculture","@@FromAgriculture","@@FromAgriculture"
"InfomodeTooltipVegetables","@@RequiredToProduce @@BoldBeverages @@ConjunctionAnd @@BoldFood","@@RequiredToProduce @@BoldBeverages @@ConjunctionAnd @@BoldFood","@@RequiredToProduce @@BoldBeverages @@ConjunctionAnd @@BoldFood","@@RequiredToProduce @@BoldBeverages @@ConjunctionAnd @@BoldFood","@@RequiredToProduce @@BoldBeverages @@ConjunctionAnd @@BoldFood","@@RequiredToProduce @@BoldBeverages @@ConjunctionAnd @@BoldFood","@@RequiredToProduce @@BoldBeverages @@ConjunctionAnd @@BoldFood","@@RequiredToProduce @@BoldBeverages @@ConjunctionAnd @@BoldFood","@@RequiredToProduce @@BoldBeverages @@ConjunctionAnd @@BoldFood","@@RequiredToProduce @@BoldBeverages @@ConjunctionAnd @@BoldFood","@@RequiredToProduce @@BoldBeverages @@ConjunctionAnd @@BoldFood","@@RequiredToProduce @@BoldBeverages @@ConjunctionAnd @@BoldFood"
"InfomodeTooltipVegetables","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport"
"InfomodeTooltipCotton","@@FromAgriculture","@@FromAgriculture","@@FromAgriculture","@@FromAgriculture","@@FromAgriculture","@@FromAgriculture","@@FromAgriculture","@@FromAgriculture","@@FromAgriculture","@@FromAgriculture","@@FromAgriculture","@@FromAgriculture"
"InfomodeTooltipCotton","@@RequiredToProduce @@BoldTextiles","@@RequiredToProduce @@BoldTextiles","@@RequiredToProduce @@BoldTextiles","@@RequiredToProduce @@BoldTextiles","@@RequiredToProduce @@BoldTextiles","@@RequiredToProduce @@BoldTextiles","@@RequiredToProduce @@BoldTextiles","@@RequiredToProduce @@BoldTextiles","@@RequiredToProduce @@BoldTextiles","@@RequiredToProduce @@BoldTextiles","@@RequiredToProduce @@BoldTextiles","@@RequiredToProduce @@BoldTextiles"
"InfomodeTooltipCotton","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport"
"InfomodeTooltipOil","@@FromOilDrilling","@@FromOilDrilling","@@FromOilDrilling","@@FromOilDrilling","@@FromOilDrilling","@@FromOilDrilling","@@FromOilDrilling","@@FromOilDrilling","@@FromOilDrilling","@@FromOilDrilling","@@FromOilDrilling","@@FromOilDrilling"
"InfomodeTooltipOil","@@RequiredToProduce @@BoldPetrochemicals @@ConjunctionAnd  @@BoldChemicals","@@RequiredToProduce @@BoldPetrochemicals @@ConjunctionAnd  @@BoldChemicals","@@RequiredToProduce @@BoldPetrochemicals @@ConjunctionAnd  @@BoldChemicals","@@RequiredToProduce @@BoldPetrochemicals @@ConjunctionAnd  @@BoldChemicals","@@RequiredToProduce @@BoldPetrochemicals @@ConjunctionAnd  @@BoldChemicals","@@RequiredToProduce @@BoldPetrochemicals @@ConjunctionAnd  @@BoldChemicals","@@RequiredToProduce @@BoldPetrochemicals @@ConjunctionAnd  @@BoldChemicals","@@RequiredToProduce @@BoldPetrochemicals @@ConjunctionAnd  @@BoldChemicals","@@RequiredToProduce @@BoldPetrochemicals @@ConjunctionAnd  @@BoldChemicals","@@RequiredToProduce @@BoldPetrochemicals @@ConjunctionAnd  @@BoldChemicals","@@RequiredToProduce @@BoldPetrochemicals @@ConjunctionAnd  @@BoldChemicals","@@RequiredToProduce @@BoldPetrochemicals @@ConjunctionAnd  @@BoldChemicals"
"InfomodeTooltipOil","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport"
"InfomodeTooltipOre","@@FromMining","@@FromMining","@@FromMining","@@FromMining","@@FromMining","@@FromMining","@@FromMining","@@FromMining","@@FromMining","@@FromMining","@@FromMining","@@FromMining"
"InfomodeTooltipOre","@@RequiredToProduce @@BoldMetals","@@RequiredToProduce @@BoldMetals","@@RequiredToProduce @@BoldMetals","@@RequiredToProduce @@BoldMetals","@@RequiredToProduce @@BoldMetals","@@RequiredToProduce @@BoldMetals","@@RequiredToProduce @@BoldMetals","@@RequiredToProduce @@BoldMetals","@@RequiredToProduce @@BoldMetals","@@RequiredToProduce @@BoldMetals","@@RequiredToProduce @@BoldMetals","@@RequiredToProduce @@BoldMetals"
"InfomodeTooltipOre","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport"
"InfomodeTooltipCoal","@@FromMining","@@FromMining","@@FromMining","@@FromMining","@@FromMining","@@FromMining","@@FromMining","@@FromMining","@@FromMining","@@FromMining","@@FromMining","@@FromMining"
"InfomodeTooltipCoal","@@RequiredToProduce @@BoldSteel","@@RequiredToProduce @@BoldSteel","@@RequiredToProduce @@BoldSteel","@@RequiredToProduce @@BoldSteel","@@RequiredToProduce @@BoldSteel","@@RequiredToProduce @@BoldSteel","@@RequiredToProduce @@BoldSteel","@@RequiredToProduce @@BoldSteel","@@RequiredToProduce @@BoldSteel","@@RequiredToProduce @@BoldSteel","@@RequiredToProduce @@BoldSteel","@@RequiredToProduce @@BoldSteel"
"InfomodeTooltipCoal","@@UsedBy **@@Electricity**","@@UsedBy **@@Electricity**","@@UsedBy **@@Electricity**","@@UsedBy **@@Electricity**","@@UsedBy **@@Electricity**","@@UsedBy **@@Electricity**","@@UsedBy **@@Electricity**","@@UsedBy **@@Electricity**","@@UsedBy **@@Electricity**","@@UsedBy **@@Electricity**","@@UsedBy **@@Electricity**","@@UsedBy **@@Electricity**"
"InfomodeTooltipCoal","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport"
"InfomodeTooltipStone","@@FromMining","@@FromMining","@@FromMining","@@FromMining","@@FromMining","@@FromMining","@@FromMining","@@FromMining","@@FromMining","@@FromMining","@@FromMining","@@FromMining"
"InfomodeTooltipStone","@@RequiredToProduce @@BoldMinerals @@ConjunctionAnd  @@BoldConcrete","@@RequiredToProduce @@BoldMinerals @@ConjunctionAnd  @@BoldConcrete","@@RequiredToProduce @@BoldMinerals @@ConjunctionAnd  @@BoldConcrete","@@RequiredToProduce @@BoldMinerals @@ConjunctionAnd  @@BoldConcrete","@@RequiredToProduce @@BoldMinerals @@ConjunctionAnd  @@BoldConcrete","@@RequiredToProduce @@BoldMinerals @@ConjunctionAnd  @@BoldConcrete","@@RequiredToProduce @@BoldMinerals @@ConjunctionAnd  @@BoldConcrete","@@RequiredToProduce @@BoldMinerals @@ConjunctionAnd  @@BoldConcrete","@@RequiredToProduce @@BoldMinerals @@ConjunctionAnd  @@BoldConcrete","@@RequiredToProduce @@BoldMinerals @@ConjunctionAnd  @@BoldConcrete","@@RequiredToProduce @@BoldMinerals @@ConjunctionAnd  @@BoldConcrete","@@RequiredToProduce @@BoldMinerals @@ConjunctionAnd  @@BoldConcrete"
"InfomodeTooltipStone","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport"
,,,,,,,,,,,,
"InfomodeTooltipMetals","@@ProducedFrom @@BoldOre @@ConjunctionAnd **@@RecyclingCenter**","@@ProducedFrom @@BoldOre @@ConjunctionAnd **@@RecyclingCenter**","@@ProducedFrom @@BoldOre @@ConjunctionAnd **@@RecyclingCenter**","@@ProducedFrom @@BoldOre @@ConjunctionAnd **@@RecyclingCenter**","@@ProducedFrom @@BoldOre @@ConjunctionAnd **@@RecyclingCenter**","@@ProducedFrom @@BoldOre @@ConjunctionAnd **@@RecyclingCenter**","@@ProducedFrom @@BoldOre @@ConjunctionAnd **@@RecyclingCenter**","@@ProducedFrom @@BoldOre @@ConjunctionAnd **@@RecyclingCenter**","@@ProducedFrom @@BoldOre @@ConjunctionAnd **@@RecyclingCenter**","@@ProducedFrom @@BoldOre @@ConjunctionAnd **@@RecyclingCenter**","@@ProducedFrom @@BoldOre @@ConjunctionAnd **@@RecyclingCenter**","@@ProducedFrom @@BoldOre @@ConjunctionAnd **@@RecyclingCenter**"
"InfomodeTooltipMetals","@@RequiredToProduce @@BoldSteel, @@BoldMachinery, @@ConjunctionAnd @@BoldVehicles","@@RequiredToProduce @@BoldSteel, @@BoldMachinery, @@ConjunctionAnd @@BoldVehicles","@@RequiredToProduce @@BoldSteel, @@BoldMachinery, @@ConjunctionAnd @@BoldVehicles","@@RequiredToProduce @@BoldSteel, @@BoldMachinery, @@ConjunctionAnd @@BoldVehicles","@@RequiredToProduce @@BoldSteel, @@BoldMachinery, @@ConjunctionAnd @@BoldVehicles","@@RequiredToProduce @@BoldSteel, @@BoldMachinery, @@ConjunctionAnd @@BoldVehicles","@@RequiredToProduce @@BoldSteel, @@BoldMachinery, @@ConjunctionAnd @@BoldVehicles","@@RequiredToProduce @@BoldSteel, @@BoldMachinery, @@ConjunctionAnd @@BoldVehicles","@@RequiredToProduce @@BoldSteel, @@BoldMachinery, @@ConjunctionAnd @@BoldVehicles","@@RequiredToProduce @@BoldSteel, @@BoldMachinery, @@ConjunctionAnd @@BoldVehicles","@@RequiredToProduce @@BoldSteel, @@BoldMachinery, @@ConjunctionAnd @@BoldVehicles","@@RequiredToProduce @@BoldSteel, @@BoldMachinery, @@ConjunctionAnd @@BoldVehicles"
"InfomodeTooltipMetals","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport"
"InfomodeTooltipSteel","@@ProducedFrom @@BoldCoal @@ConjunctionAnd @@BoldMetals","@@ProducedFrom @@BoldCoal @@ConjunctionAnd @@BoldMetals","@@ProducedFrom @@BoldCoal @@ConjunctionAnd @@BoldMetals","@@ProducedFrom @@BoldCoal @@ConjunctionAnd @@BoldMetals","@@ProducedFrom @@BoldCoal @@ConjunctionAnd @@BoldMetals","@@ProducedFrom @@BoldCoal @@ConjunctionAnd @@BoldMetals","@@ProducedFrom @@BoldCoal @@ConjunctionAnd @@BoldMetals","@@ProducedFrom @@BoldCoal @@ConjunctionAnd @@BoldMetals","@@ProducedFrom @@BoldCoal @@ConjunctionAnd @@BoldMetals","@@ProducedFrom @@BoldCoal @@ConjunctionAnd @@BoldMetals","@@ProducedFrom @@BoldCoal @@ConjunctionAnd @@BoldMetals","@@ProducedFrom @@BoldCoal @@ConjunctionAnd @@BoldMetals"
"InfomodeTooltipSteel","@@RequiredToProduce @@BoldMachinery","@@RequiredToProduce @@BoldMachinery","@@RequiredToProduce @@BoldMachinery","@@RequiredToProduce @@BoldMachinery","@@RequiredToProduce @@BoldMachinery","@@RequiredToProduce @@BoldMachinery","@@RequiredToProduce @@BoldMachinery","@@RequiredToProduce @@BoldMachinery","@@RequiredToProduce @@BoldMachinery","@@RequiredToProduce @@BoldMachinery","@@RequiredToProduce @@BoldMachinery","@@RequiredToProduce @@BoldMachinery"
"InfomodeTooltipSteel","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport"
"InfomodeTooltipMinerals","@@ProducedFrom @@BoldStone","@@ProducedFrom @@BoldStone","@@ProducedFrom @@BoldStone","@@ProducedFrom @@BoldStone","@@ProducedFrom @@BoldStone","@@ProducedFrom @@BoldStone","@@ProducedFrom @@BoldStone","@@ProducedFrom @@BoldStone","@@ProducedFrom @@BoldStone","@@ProducedFrom @@BoldStone","@@ProducedFrom @@BoldStone","@@ProducedFrom @@BoldStone"
"InfomodeTooltipMinerals","@@RequiredToProduce @@BoldChemicals @@ConjunctionAnd @@BoldElectronics","@@RequiredToProduce @@BoldChemicals @@ConjunctionAnd @@BoldElectronics","@@RequiredToProduce @@BoldChemicals @@ConjunctionAnd @@BoldElectronics","@@RequiredToProduce @@BoldChemicals @@ConjunctionAnd @@BoldElectronics","@@RequiredToProduce @@BoldChemicals @@ConjunctionAnd @@BoldElectronics","@@RequiredToProduce @@BoldChemicals @@ConjunctionAnd @@BoldElectronics","@@RequiredToProduce @@BoldChemicals @@ConjunctionAnd @@BoldElectronics","@@RequiredToProduce @@BoldChemicals @@ConjunctionAnd @@BoldElectronics","@@RequiredToProduce @@BoldChemicals @@ConjunctionAnd @@BoldElectronics","@@RequiredToProduce @@BoldChemicals @@ConjunctionAnd @@BoldElectronics","@@RequiredToProduce @@BoldChemicals @@ConjunctionAnd @@BoldElectronics","@@RequiredToProduce @@BoldChemicals @@ConjunctionAnd @@BoldElectronics"
"InfomodeTooltipMinerals","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport"
"InfomodeTooltipConcrete","@@ProducedFrom @@BoldStone","@@ProducedFrom @@BoldStone","@@ProducedFrom @@BoldStone","@@ProducedFrom @@BoldStone","@@ProducedFrom @@BoldStone","@@ProducedFrom @@BoldStone","@@ProducedFrom @@BoldStone","@@ProducedFrom @@BoldStone","@@ProducedFrom @@BoldStone","@@ProducedFrom @@BoldStone","@@ProducedFrom @@BoldStone","@@ProducedFrom @@BoldStone"
"InfomodeTooltipConcrete","@@UsedBy **@@Upkeep**","@@UsedBy **@@Upkeep**","@@UsedBy **@@Upkeep**","@@UsedBy **@@Upkeep**","@@UsedBy **@@Upkeep**","@@UsedBy **@@Upkeep**","@@UsedBy **@@Upkeep**","@@UsedBy **@@Upkeep**","@@UsedBy **@@Upkeep**","@@UsedBy **@@Upkeep**","@@UsedBy **@@Upkeep**","@@UsedBy **@@Upkeep**"
"InfomodeTooltipConcrete","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport"
"InfomodeTooltipMachinery","@@ProducedFrom @@BoldMetals @@ConjunctionAnd @@BoldSteel","@@ProducedFrom @@BoldMetals @@ConjunctionAnd @@BoldSteel","@@ProducedFrom @@BoldMetals @@ConjunctionAnd @@BoldSteel","@@ProducedFrom @@BoldMetals @@ConjunctionAnd @@BoldSteel","@@ProducedFrom @@BoldMetals @@ConjunctionAnd @@BoldSteel","@@ProducedFrom @@BoldMetals @@ConjunctionAnd @@BoldSteel","@@ProducedFrom @@BoldMetals @@ConjunctionAnd @@BoldSteel","@@ProducedFrom @@BoldMetals @@ConjunctionAnd @@BoldSteel","@@ProducedFrom @@BoldMetals @@ConjunctionAnd @@BoldSteel","@@ProducedFrom @@BoldMetals @@ConjunctionAnd @@BoldSteel","@@ProducedFrom @@BoldMetals @@ConjunctionAnd @@BoldSteel","@@ProducedFrom @@BoldMetals @@ConjunctionAnd @@BoldSteel"
"InfomodeTooltipMachinery","@@UsedBy **@@Industry**","@@UsedBy **@@Industry**","@@UsedBy **@@Industry**","@@UsedBy **@@Industry**","@@UsedBy **@@Industry**","@@UsedBy **@@Industry**","@@UsedBy **@@Industry**","@@UsedBy **@@Industry**","@@UsedBy **@@Industry**","@@UsedBy **@@Industry**","@@UsedBy **@@Industry**","@@UsedBy **@@Industry**"
"InfomodeTooltipMachinery","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport"
"InfomodeTooltipPetrochemicals","@@ProducedFrom @@BoldGrain @@ConjunctionOr @@BoldOil","@@ProducedFrom @@BoldGrain @@ConjunctionOr @@BoldOil","@@ProducedFrom @@BoldGrain @@ConjunctionOr @@BoldOil","@@ProducedFrom @@BoldGrain @@ConjunctionOr @@BoldOil","@@ProducedFrom @@BoldGrain @@ConjunctionOr @@BoldOil","@@ProducedFrom @@BoldGrain @@ConjunctionOr @@BoldOil","@@ProducedFrom @@BoldGrain @@ConjunctionOr @@BoldOil","@@ProducedFrom @@BoldGrain @@ConjunctionOr @@BoldOil","@@ProducedFrom @@BoldGrain @@ConjunctionOr @@BoldOil","@@ProducedFrom @@BoldGrain @@ConjunctionOr @@BoldOil","@@ProducedFrom @@BoldGrain @@ConjunctionOr @@BoldOil","@@ProducedFrom @@BoldGrain @@ConjunctionOr @@BoldOil"
"InfomodeTooltipPetrochemicals","@@RequiredToProduce @@BoldPlastics @@ConjunctionAnd @@BoldTextiles","@@RequiredToProduce @@BoldPlastics @@ConjunctionAnd @@BoldTextiles","@@RequiredToProduce @@BoldPlastics @@ConjunctionAnd @@BoldTextiles","@@RequiredToProduce @@BoldPlastics @@ConjunctionAnd @@BoldTextiles","@@RequiredToProduce @@BoldPlastics @@ConjunctionAnd @@BoldTextiles","@@RequiredToProduce @@BoldPlastics @@ConjunctionAnd @@BoldTextiles","@@RequiredToProduce @@BoldPlastics @@ConjunctionAnd @@BoldTextiles","@@RequiredToProduce @@BoldPlastics @@ConjunctionAnd @@BoldTextiles","@@RequiredToProduce @@BoldPlastics @@ConjunctionAnd @@BoldTextiles","@@RequiredToProduce @@BoldPlastics @@ConjunctionAnd @@BoldTextiles","@@RequiredToProduce @@BoldPlastics @@ConjunctionAnd @@BoldTextiles","@@RequiredToProduce @@BoldPlastics @@ConjunctionAnd @@BoldTextiles"
"InfomodeTooltipPetrochemicals","@@UsedBy **@@Consumers**, **@@Electricity**, @@ConjunctionAnd **@@Heating**","@@UsedBy **@@Consumers**, **@@Electricity**, @@ConjunctionAnd **@@Heating**","@@UsedBy **@@Consumers**, **@@Electricity**, @@ConjunctionAnd **@@Heating**","@@UsedBy **@@Consumers**, **@@Electricity**, @@ConjunctionAnd **@@Heating**","@@UsedBy **@@Consumers**, **@@Electricity**, @@ConjunctionAnd **@@Heating**","@@UsedBy **@@Consumers**, **@@Electricity**, @@ConjunctionAnd **@@Heating**","@@UsedBy **@@Consumers**, **@@Electricity**, @@ConjunctionAnd **@@Heating**","@@UsedBy **@@Consumers**, **@@Electricity**, @@ConjunctionAnd **@@Heating**","@@UsedBy **@@Consumers**, **@@Electricity**, @@ConjunctionAnd **@@Heating**","@@UsedBy **@@Consumers**, **@@Electricity**, @@ConjunctionAnd **@@Heating**","@@UsedBy **@@Consumers**, **@@Electricity**, @@ConjunctionAnd **@@Heating**","@@UsedBy **@@Consumers**, **@@Electricity**, @@ConjunctionAnd **@@Heating**"
"InfomodeTooltipPetrochemicals","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport"
"InfomodeTooltipChemicals","@@ProducedFrom @@BoldOil @@ConjunctionAnd @@BoldMinerals","@@ProducedFrom @@BoldOil @@ConjunctionAnd @@BoldMinerals","@@ProducedFrom @@BoldOil @@ConjunctionAnd @@BoldMinerals","@@ProducedFrom @@BoldOil @@ConjunctionAnd @@BoldMinerals","@@ProducedFrom @@BoldOil @@ConjunctionAnd @@BoldMinerals","@@ProducedFrom @@BoldOil @@ConjunctionAnd @@BoldMinerals","@@ProducedFrom @@BoldOil @@ConjunctionAnd @@BoldMinerals","@@ProducedFrom @@BoldOil @@ConjunctionAnd @@BoldMinerals","@@ProducedFrom @@BoldOil @@ConjunctionAnd @@BoldMinerals","@@ProducedFrom @@BoldOil @@ConjunctionAnd @@BoldMinerals","@@ProducedFrom @@BoldOil @@ConjunctionAnd @@BoldMinerals","@@ProducedFrom @@BoldOil @@ConjunctionAnd @@BoldMinerals"
"InfomodeTooltipChemicals","@@RequiredToProduce @@BoldPlastics @@ConjunctionAnd @@BoldPharmaceuticals","@@RequiredToProduce @@BoldPlastics @@ConjunctionAnd @@BoldPharmaceuticals","@@RequiredToProduce @@BoldPlastics @@ConjunctionAnd @@BoldPharmaceuticals","@@RequiredToProduce @@BoldPlastics @@ConjunctionAnd @@BoldPharmaceuticals","@@RequiredToProduce @@BoldPlastics @@ConjunctionAnd @@BoldPharmaceuticals","@@RequiredToProduce @@BoldPlastics @@ConjunctionAnd @@BoldPharmaceuticals","@@RequiredToProduce @@BoldPlastics @@ConjunctionAnd @@BoldPharmaceuticals","@@RequiredToProduce @@BoldPlastics @@ConjunctionAnd @@BoldPharmaceuticals","@@RequiredToProduce @@BoldPlastics @@ConjunctionAnd @@BoldPharmaceuticals","@@RequiredToProduce @@BoldPlastics @@ConjunctionAnd @@BoldPharmaceuticals","@@RequiredToProduce @@BoldPlastics @@ConjunctionAnd @@BoldPharmaceuticals","@@RequiredToProduce @@BoldPlastics @@ConjunctionAnd @@BoldPharmaceuticals"
"InfomodeTooltipChemicals","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**"
"InfomodeTooltipChemicals","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport"
"InfomodeTooltipPlastics","@@ProducedFrom @@BoldPetrochemicals, @@BoldChemicals, @@ConjunctionAnd **@@RecyclingCenter**","@@ProducedFrom @@BoldPetrochemicals, @@BoldChemicals, @@ConjunctionAnd **@@RecyclingCenter**","@@ProducedFrom @@BoldPetrochemicals, @@BoldChemicals, @@ConjunctionAnd **@@RecyclingCenter**","@@ProducedFrom @@BoldPetrochemicals, @@BoldChemicals, @@ConjunctionAnd **@@RecyclingCenter**","@@ProducedFrom @@BoldPetrochemicals, @@BoldChemicals, @@ConjunctionAnd **@@RecyclingCenter**","@@ProducedFrom @@BoldPetrochemicals, @@BoldChemicals, @@ConjunctionAnd **@@RecyclingCenter**","@@ProducedFrom @@BoldPetrochemicals, @@BoldChemicals, @@ConjunctionAnd **@@RecyclingCenter**","@@ProducedFrom @@BoldPetrochemicals, @@BoldChemicals, @@ConjunctionAnd **@@RecyclingCenter**","@@ProducedFrom @@BoldPetrochemicals, @@BoldChemicals, @@ConjunctionAnd **@@RecyclingCenter**","@@ProducedFrom @@BoldPetrochemicals, @@BoldChemicals, @@ConjunctionAnd **@@RecyclingCenter**","@@ProducedFrom @@BoldPetrochemicals, @@BoldChemicals, @@ConjunctionAnd **@@RecyclingCenter**","@@ProducedFrom @@BoldPetrochemicals, @@BoldChemicals, @@ConjunctionAnd **@@RecyclingCenter**"
"InfomodeTooltipPlastics","@@RequiredToProduce @@BoldElectronics @@ConjunctionAnd @@BoldVehicles","@@RequiredToProduce @@BoldElectronics @@ConjunctionAnd @@BoldVehicles","@@RequiredToProduce @@BoldElectronics @@ConjunctionAnd @@BoldVehicles","@@RequiredToProduce @@BoldElectronics @@ConjunctionAnd @@BoldVehicles","@@RequiredToProduce @@BoldElectronics @@ConjunctionAnd @@BoldVehicles","@@RequiredToProduce @@BoldElectronics @@ConjunctionAnd @@BoldVehicles","@@RequiredToProduce @@BoldElectronics @@ConjunctionAnd @@BoldVehicles","@@RequiredToProduce @@BoldElectronics @@ConjunctionAnd @@BoldVehicles","@@RequiredToProduce @@BoldElectronics @@ConjunctionAnd @@BoldVehicles","@@RequiredToProduce @@BoldElectronics @@ConjunctionAnd @@BoldVehicles","@@RequiredToProduce @@BoldElectronics @@ConjunctionAnd @@BoldVehicles","@@RequiredToProduce @@BoldElectronics @@ConjunctionAnd @@BoldVehicles"
"InfomodeTooltipPlastics","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**","@@UsedBy **@@Consumers**"
"InfomodeTooltipPlastics","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport","@@ImportExport"
"InfomodeTooltipPharmaceuticals","@@ProducedFrom @@BoldChemicals","@@ProducedFrom @@BoldChemicals","@@ProducedFrom @@BoldChemicals","@@ProducedFrom @@BoldChemicals","@@ProducedFrom @@BoldChemicals","@@ProducedFrom @@BoldChemicals","@@ProducedFrom @@BoldChemicals","@@ProducedFrom @@BoldChemicals","@@ProducedFrom @@BoldChemicals","@@ProducedFrom @@BoldChemicals","@@ProducedFrom @@BoldChemicals","@@ProducedFrom @@BoldChemicals"
